typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2,5,5,20,1,-1,4
2,0,0,10,1,1,1
1,4,4,24,0,-1,3
1,5,5,6,0,1,2
2,3,3,23,1,-1,4
3,4,4,21,1,1,1
1,4,4,18,0,-1,3
2,4,4,9,1,-1,4
3,4,4,0,1,1,1
2,4,4,22,1,1,1
2,3,3,3,1,1,1
3,4,4,1,1,1,1
3,4,4,18,1,1,1
2,3,3,33,1,1,1
2,2,2,3,1,1,1
3,2,2,1,1,1,1
2,4,4,6,1,1,1
3,4,4,7,1,1,1
2,4,4,3,1,1,1
3,4,4,4,1,1,1
2,1,1,1,1,1,1
3,2,2,2,1,1,1
3,2,2,4,1,1,1
2,1,1,3,1,1,1
3,2,2,0,1,1,1
3,2,2,3,1,1,1
3,2,2,3,1,1,1
3,1,1,8,1,1,1
1,3,3,4,0,-1,3
3,2,2,12,1,-1,4
2,3,3,7,1,1,1
3,2,2,17,1,1,1
2,3,3,0,1,1,1
2,2,2,3,1,1,1
2,2,2,0,1,1,1
3,3,3,2,1,1,1
3,2,2,2,1,1,1
2,3,3,4,1,1,1
0,2,2,6,0,-1,3
1,3,3,3,0,1,2
2,3,3,24,1,-1,4
2,6,6,21,1,1,1
2,3,3,25,1,1,1
1,5,5,16,0,-1,3
2,5,5,20,1,-1,4
2,4,4,22,1,1,1
2,4,4,15,1,1,1
1,5,5,8,0,-1,3
2,3,3,14,1,-1,4
1,4,4,7,0,-1,3
2,2,2,0,1,-1,4
2,5,5,37,1,1,1
2,5,5,3,1,1,1
1,4,4,3,0,-1,3
2,5,5,11,1,-1,4
2,5,5,2,1,1,1
2,4,4,0,1,1,1
2,4,4,0,1,1,1
2,1,1,3,1,1,1
2,4,4,0,1,1,1
2,4,4,0,1,1,1
2,1,1,0,1,1,1
2,2,2,0,1,1,1
2,2,2,0,1,1,1
2,2,2,0,1,1,1
3,2,2,1,1,1,1
2,2,2,2,1,1,1
2,1,1,0,1,1,1
2,2,2,3,1,1,1
1,1,1,0,0,-1,3
2,1,1,0,1,-1,4
2,2,2,7,1,1,1
2,2,2,2,1,1,1
2,2,2,0,1,1,1
2,2,2,0,1,1,1
2,2,2,4,1,1,1
1,1,1,0,0,-1,3
2,2,2,1,1,-1,4
1,2,2,0,0,-1,3
2,3,3,6,1,-1,4
3,5,5,14,1,1,1
2,4,4,23,1,1,1
2,6,6,17,1,1,1
2,2,2,17,1,1,1
2,4,4,14,1,1,1
2,4,4,17,1,1,1
3,3,3,15,1,1,1
2,2,2,6,1,1,1
2,3,3,15,1,1,1
2,5,5,12,1,1,1
2,2,2,11,1,1,1
3,5,5,7,1,1,1
2,4,4,0,1,1,1
2,5,5,28,1,1,1
2,4,4,4,1,1,1
3,2,2,2,1,1,1
2,4,4,20,1,1,1
2,3,3,1,1,1,1
2,1,1,1,1,1,1
2,5,5,5,1,1,1
2,4,4,1,1,1,1
2,2,2,2,1,1,1
-1,2,2,0,0,-1,3
2,2,2,1,1,-1,4
2,2,2,3,1,1,1
2,2,2,2,1,1,1
2,2,2,2,1,1,1
2,2,2,0,1,1,1
3,3,3,0,1,1,1
2,2,2,2,1,1,1
2,2,2,5,1,1,1
1,2,2,1,0,-1,3
2,2,2,4,1,-1,4
2,2,2,5,1,1,1
2,0,0,1,1,1,1
1,3,3,0,0,-1,3
1,2,2,0,0,1,2
3,2,2,9,1,-1,4
2,2,2,2,1,1,1
2,3,3,3,1,1,1
2,5,5,25,1,1,1
2,4,4,14,1,1,1
2,5,5,16,1,1,1
1,5,5,16,0,-1,3
2,5,5,12,1,-1,4
1,5,5,20,0,-1,3
2,6,6,29,1,-1,4
2,4,4,19,1,1,1
2,5,5,18,1,1,1
1,5,5,14,0,-1,3
2,5,5,19,1,-1,4
2,5,5,2,1,1,1
-1,4,4,9,0,-1,3
2,3,3,5,1,-1,4
2,4,4,0,1,1,1
2,5,5,32,1,1,1
2,5,5,9,1,1,1
2,2,2,4,1,1,1
2,5,5,5,1,1,1
2,4,4,14,1,1,1
2,5,5,4,1,1,1
1,5,5,4,0,-1,3
2,4,4,7,1,-1,4
2,3,3,6,1,1,1
2,1,1,3,1,1,1
2,2,2,1,1,1,1
2,1,1,3,1,1,1
2,2,2,0,1,1,1
2,1,1,7,1,1,1
2,2,2,3,1,1,1
2,2,2,2,1,1,1
2,1,1,3,1,1,1
2,2,2,0,1,1,1
2,2,2,6,1,1,1
2,2,2,4,1,1,1
2,2,2,3,1,1,1
2,2,2,0,1,1,1
2,0,1,2,1,1,1
2,1,1,1,1,1,1
2,2,2,2,1,1,1
2,4,4,17,1,1,1
2,4,4,26,1,1,1
3,5,5,19,1,1,1
